tag,value
LPG Subsidy & DBT (Direct Benefit Transfer),0.0002046245
Fake ration cards and its linkage with Aadhaar,0.0032739922
Aadhaar Enrollment of voters of electorates,0.0045017393
Aadhaar requirement for college students' registration,0.0106404747
Installation of e-pos systems for Aadhaar enabled PDS,0.0108450992
Requirement of Aadhaar for school admission,0.0124820954
Aadhar enrollment centers,0.0231225701
Requirement of Aadhaar for passport & other services,0.0255780643
BSNL linking Aadhaar with mobile numbers,0.0284428074
Opening of bank accounts and financial inclusion,0.0480867608
Aadhaar's involvement in filing income tax returns,0.0550439943
Parliamentary debates on Aadhaar,0.0720278289
International Linkages/Positive Effect on Economy,0.0982197667
Implementation of Direct Benefit Transfer Scheme,0.1330059341
Digitization of Aadhaar for Cashless payments/Govt-Offices,0.1397585431
Aadhaar based verification for telecom users and data leakage,0.1444649069
Court cases related to Aadhaar,0.190300798
,1
