tag,value
Positive Effect of GST on GDP and Economy,0
Uncertainity in Impact of GST on consumer Goods,0
Revolts/Confusion with GST Rate Slabs,0
GST Bill implementation in State Assemblies,0
Discussion in Parliament in support of GST,0
Traders hassles to meet GST registration deadline,0
Sensex/Market rejoices on GST rollout,0
Nonconclusive discussion b/w center & state regarding GST,0
Training Programmes for Creating GST Awareness,0
Fears of Capital Crunch among traders before GST Rollout,0
Nationwide Protest to include Petroleum products under GST,0
