tag,value
Protests by farmers,-24.1081
Crimes and Suicide in farmer community,-15.2038
Loan waiver implementation by State Govts (and opposition's protests regarding the same),-10.9563
Politics in Maharashtra/Punjab over Compensation and Loan waiver for farmers,-6.364
Disbursement of Loans and Subsidy by Banks for farmers,-4.0472
Farmers' Distress regarding Minimum Support Price for Crops,-1.4519
Opposition's protests and concerns on problems related to farmers (including Demonetization),-0.9085
Positive effect of climatic conditions on agriculture yield,-0.7794
Educational Drives and Social Awareness on Farmer's Distress,0
Variation in Crop Prices with monsoon season,0
Irrigation concerns and water pollution affecting farming,1.383
Training programmes and seminars to improve farming in States,1.5149
Cultural events related to farmers' distress,5.2023
District Administration and farmers Issues,46.1927
