tag,value
LPG Subsidy & DBT (Direct Benefit Transfer),0.0008090615
Aadhaar Enrollment of voters of electorates,0.0064724919
BSNL linking Aadhaar with mobile numbers,0.0080906149
Aadhaar requirement for college students' registration,0.0137540453
Requirement of Aadhaar for school admission,0.0145631068
Parliamentary debates on Aadhaar,0.0169902913
Aadhaar's involvement in filing income tax returns,0.0186084142
Fake ration cards and its linkage with Aadhaar,0.0202265372
Installation of e-pos systems for Aadhaar enabled PDS,0.0266990291
Requirement of Aadhaar for passport & other services,0.0283171521
Implementation of Direct Benefit Transfer Scheme,0.03802589
Opening of bank accounts and financial inclusion,0.0477346278
International Linkages/Positive Effect on Economy,0.0501618123
Digitization of Aadhaar for Cashless payments/Govt-Offices,0.0566343042
Aadhar enrollment centers,0.1351132686
Court cases related to Aadhaar,0.2079288026
Aadhaar based verification for telecom users and data leakage,0.3098705502
