department,interlocks,,,,,,,,,,,,,,,,,,,,,,,,,
ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,3,,,,,,,,,,,,,,,,,,,,,,,,,
"AGRICULTURE, FORESTRY AND FISHING",10,,,,,,,,,,,,,,,,,,,,,,3,3,3,3
"Arts, entertainment and recreation",4,,,,,,,,,,,,,,,,,,,,,,3,3,3,3
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",36,,,,,,,,,,,,,,,,,,,,,,10,10,10,10
WHOLESALE AND RETAIL TRADE; REPAIR OF MOTORVEHICLES AND MOTORCYCLES,21,,,,,,,,,,,,,,,,,,,,,,4,4,4,4
Human health and social work activities,9,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
INFORMATION AND COMMUNICATION,5,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
MANUFACTURING,55,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,29,29,29,29
,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5
,,,,,,,,,,,,,,,,,,,,,,,55,55,55,55
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,36,36,36,36
,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,21,21,21,21
