tag,value
Aadhaar requirement for college students' registration,0.009051326
Requirement of Aadhaar for school admission,0.011916029
Aadhaar Enrollment of voters of electorates,0.017401196
BSNL linking Aadhaar with mobile numbers,0.020092534
Installation of e-pos systems for Aadhaar enabled PDS,0.02289436
Fake ration cards and its linkage with Aadhaar,0.032707111
Requirement of Aadhaar for passport & other services,0.037079762
Aadhaar's involvement in filing income tax returns,0.039811443
Digitization of Aadhaar for Cashless payments/Govt-Offices,0.042174223
Aadhaar based verification for telecom users and data leakage,0.046436749
Opening of bank accounts and financial inclusion,0.060613429
LPG Subsidy & DBT Direct Benefit Transfer,0.078221064
Implementation of Direct Benefit Transfer Scheme,0.078829477
Parliamentary debates on Aadhaar,0.092617994
International Linkages/Positive Effect on Economy,0.123141869
Court cases related to Aadhaar,0.137473377
Aadhar enrollment centers,0.149538057
