tag,value
Enhanced security features on new currency notes,-209.782
Negative imapct of demonetisation on Economy,-133.2331
Negative impact on Small/Medium scale industries/employees,-111.325
Suffering of farmers and Relief-measures,-98.7003
Long queues at banks and ATMs and cash crunch,-81.0708
Probes and Arrests of black money hoarders,-60.3108
Vendors going cashless & impact Post-Demon,-47.8603
Failure of RBI to stabilize economy Post-Demon,-23.5276
Huge deposits in PMY bank accounts,-15.1224
Negative impact of demonetisation on Real-Estate,-4.6911
Court verdicts & Penalties for black money hoarders,-4.326
Negative impact on Retail/Stock markets,13.8082
Appreciation by PM for supporting Demonitisation,61.0385
