tag,value
Training Programmes for  GST Awareness,52
Positive Effect of GST on GDP and Economy,3
Uncertainity in Impact of GST on consumer Goods,1
Revolts/Confusion with GST Rate Slabs,18
GST Bill implementation in State Assemblies,43
Discussion in Parliament in support of GST,1
Fears of Capital Crunch among traders before GST Rollout,34
Traders hassles to meet GST registration deadline,4
Sensex/Market rejoices on GST rollout,1
Nonconclusive discussion b/w center & state regarding GST,66
Nationwide Protest to include Petroleum products under GST,134
