tag,value
Protests by farmers,-225.7829
Crimes and Suicide in farmer community,-179.5455
Loan waiver implementation by State Govts (and opposition's protests regarding the same),-10.8931
Educational Drives and Social Awareness on Farmer's Distress,-10.2936
Positive effect of climatic conditions on agriculture yield,-10.0795
Politics in Maharashtra/Punjab over Compensation and Loan waiver for farmers,-1.4862
District Administration and farmers Issues,0
Variation in Crop Prices with monsoon season,0.68
Training programmes and seminars to improve farming in States,3.8948
Opposition's protests and concerns on problems related to farmers (including Demonetization),8.3576
Farmers' Distress regarding Minimum Support Price for Crops,18.8193
Cultural events related to farmers' distress,41.6008
Disbursement of Loans and Subsidy by Banks for farmers,75.7434
Irrigation concerns and water pollution affecting farming,1135.3731
