tag,value
Failure of RBI to stabilize economy Post-Demon,56
Negative impact on Small/Medium scale industries/employees,233
Long queues at banks and ATMs and cash crunch,396
Court verdicts & Penalties for black money hoarders,138
Negative impact on Retail/Stock markets,43
Vendors going cashless & impact Post-Demon,183
Probes and Arrests of black money hoarders,277
Suffering of farmers and Relief-measures,71
Huge deposits in PMY bank accounts,124
Negative imapct of demonetisation on Economy,129
Appreciation by PM for supporting Demonitisation,525
Negative impact of demonetisation on Real-Estate,24
Enhanced security features on new currency notes,131
Opposition unites against government on Demon-issue,461
Encouraging cashless payments Post-Demon,0
