tag,value
Aadhaar's involvement in filing income tax returns,0.011117083
BSNL linking Aadhaar with mobile numbers,0.020864445
Aadhaar requirement for college students' registration,0.023708091
Requirement of Aadhaar for school admission,0.024272182
Digitization of Aadhaar for Cashless payments/Govt-Offices,0.035147877
Installation of e-pos systems for Aadhaar enabled PDS,0.036877947
Aadhaar based verification for telecom users and data leakage,0.037134995
Opening of bank accounts and financial inclusion,0.046290559
Parliamentary debates on Aadhaar,0.046953584
Fake ration cards and its linkage with Aadhaar,0.062802045
International Linkages/Positive Effect on Economy,0.074542248
LPG Subsidy & DBT (Direct Benefit Transfer),0.080806732
Requirement of Aadhaar for passport & other services,0.0836561
Aadhaar Enrollment of voters of electorates,0.084056204
Court cases related to Aadhaar,0.08889766
Implementation of Direct Benefit Transfer Scheme,0.107888677
Aadhar enrollment centers,0.134983573
