tag,value
Requirement of Aadhaar for passport & other services,0
Fake ration cards and its linkage with Aadhaar,0
Installation of e-pos systems for Aadhaar enabled PDS,0
Digitization of Aadhaar for Cashless payments/Govt-Offices,0
Requirement of Aadhaar for school admission,0
BSNL linking Aadhaar with mobile numbers,0
Implementation of Direct Benefit Transfer Scheme,0
Aadhaar based verification for telecom users and data leakage,0
Opening of bank accounts and financial inclusion,0
LPG Subsidy & DBT (Direct Benefit Transfer),0
Aadhaar Enrollment of voters of electorates,0
Aadhaar's involvement in filing income tax returns,0
International Linkages/Positive Effect on Economy,0
Court cases related to Aadhaar,0
Aadhaar requirement for college students' registration,0
Aadhar enrollment centers,0
Parliamentary debates on Aadhaar,0
