tag,value
Protests by farmers,-212.1448
Politics in Maharashtra/Punjab over Compensation and Loan waiver for farmers,-41.5174
Crimes and Suicide in farmer community,-38.0291
Positive effect of climatic conditions on agriculture yield,-31.2512
Irrigation concerns and water pollution affecting farming,-29.7018
Farmers' Distress regarding Minimum Support Price for Crops,-20.6195
Loan waiver implementation by State Govts (and opposition's protests regarding the same),-18.3468
Educational Drives and Social Awareness on Farmer's Distress,-17.2434
Disbursement of Loans and Subsidy by Banks for farmers,-7.6225
Training programmes and seminars to improve farming in States,-6.3038
Opposition's protests and concerns on problems related to farmers (including Demonetization),-5.4856
Cultural events related to farmers' distress,-4.1051
Variation in Crop Prices with monsoon season,0
District Administration and farmers Issues,0
