tag,value
Aadhaar requirement for college students' registration,0.0056206089
Requirement of Aadhaar for school admission,0.0088992974
Aadhaar Enrollment of voters of electorates,0.0135831382
Requirement of Aadhaar for passport & other services,0.0163934426
Aadhaar's involvement in filing income tax returns,0.0210772834
BSNL linking Aadhaar with mobile numbers,0.0224824356
Installation of e-pos systems for Aadhaar enabled PDS,0.024824356
LPG Subsidy & DBT (Direct Benefit Transfer),0.0360655738
Digitization of Aadhaar for Cashless payments/Govt-Offices,0.037470726
Aadhaar based verification for telecom users and data leakage,0.0459016393
Fake ration cards and its linkage with Aadhaar,0.0548009368
Parliamentary debates on Aadhaar,0.0548009368
Implementation of Direct Benefit Transfer Scheme,0.0885245902
Opening of bank accounts and financial inclusion,0.1035128806
Court cases related to Aadhaar,0.1353629977
International Linkages/Positive Effect on Economy,0.1512880562
Aadhar enrollment centers,0.1793911007
