tag,value
GST Bill implementation in State Assemblies,-57.4974
Training Programmes for Creating GST Awareness,-5.9474
Positive Effect of GST on GDP and Economy,-0.9404
Uncertainity in Impact of GST on consumer Goods,0
Revolts/Confusion with GST Rate Slabs,0
Sensex/Market rejoices on GST rollout,0
Nationwide Protest to include Petroleum products under GST,1.3768
Traders hassles to meet GST registration deadline,6.8932
Nonconclusive discussion b/w center & state regarding GST,8.7903
Fears of Capital Crunch among traders before GST Rollout,50.8434
Discussion in Parliament in support of GST,260.6661
