tag,value
Fake ration cards and its linkage with Aadhaar,0.0042220815
Aadhaar requirement for college students' registration,0.0088663711
Installation of e-pos systems for Aadhaar enabled PDS,0.0090774752
Requirement of Aadhaar for school admission,0.0098515235
Aadhaar Enrollment of voters of electorates,0.0118921962
BSNL linking Aadhaar with mobile numbers,0.0167945019
LPG Subsidy & DBT (Direct Benefit Transfer),0.0193746628
Digitization of Aadhaar for Cashless payments/Govt-Offices,0.0301175146
Aadhaar's involvement in filing income tax returns,0.0316421551
Opening of bank accounts and financial inclusion,0.0487181291
Parliamentary debates on Aadhaar,0.0672483757
Requirement of Aadhaar for passport & other services,0.070907513
Aadhaar based verification for telecom users and data leakage,0.0981633946
Aadhar enrollment centers,0.116365257
Court cases related to Aadhaar,0.1236835315
International Linkages/Positive Effect on Economy,0.1349189595
Implementation of Direct Benefit Transfer Scheme,0.1981563578
