tag,value
Aadhaar Enrollment of voters of electorates,0.003087502
LPG Subsidy & DBT (Direct Benefit Transfer),0.00478855
Fake ration cards and its linkage with Aadhaar,0.011992327
Requirement of Aadhaar for school admission,0.022977719
Aadhaar requirement for college students' registration,0.026007378
BSNL linking Aadhaar with mobile numbers,0.029111996
Installation of e-pos systems for Aadhaar enabled PDS,0.029735281
Implementation of Direct Benefit Transfer Scheme,0.047038513
Requirement of Aadhaar for passport & other services,0.048848753
Digitization of Aadhaar for Cashless payments/Govt-Offices,0.060018887
Aadhaar's involvement in filing income tax returns,0.061866313
Aadhar enrollment centers,0.062386307
Opening of bank accounts and financial inclusion,0.064973292
Parliamentary debates on Aadhaar,0.066297772
International Linkages/Positive Effect on Economy,0.094057548
Aadhaar based verification for telecom users and data leakage,0.16761812
Court cases related to Aadhaar,0.199193744
