tag,value
Failure of RBI to stabilize economy Post-Demon,11
Negative impact on Small/Medium scale industries/employees,69
Long queues at banks and ATMs and cash crunch,102
Court verdicts & Penalties for black money hoarders,29
Negative impact on Retail/Stock markets,57
Vendors going cashless & impact Post-Demon,64
Probes and Arrests of black money hoarders,80
Suffering of farmers and Relief-measures,36
Huge deposits in PMY bank accounts,45
Negative imapct of demonetisation on Economy,144
Appreciation by PM for supporting Demonitisation,193
Negative impact of demonetisation on Real-Estate,7
Enhanced security features on new currency notes,51
Opposition unites against government on Demon-issue,317
Encouraging cashless payments Post-Demon,30
