tag,value
Failure of RBI to stabilize economy Post-Demon,96
Negative impact on Small/Medium scale industries/employees,40
Long queues at banks and ATMs and cash crunch,107
Court verdicts & Penalties for black money hoarders,70
Negative impact on Retail/Stock markets,11
Vendors going cashless & impact Post-Demon,29
Probes and Arrests of black money hoarders,157
Suffering of farmers and Relief-measures,14
Huge deposits in PMY bank accounts,14
Negative imapct of demonetisation on Economy,62
Appreciation by PM for supporting Demonitisation,926
Negative impact of demonetisation on Real-Estate,11
Enhanced security features on new currency notes,75
Opposition unites against government on Demon-issue,712
Encouraging cashless payments Post-Demon,16
