tag,value
Failure of RBI to stabilize economy Post-Demon,70
Negative impact on Small/Medium scale industries/employees,50
Long queues at banks and ATMs and cash crunch,85
Court verdicts & Penalties for black money hoarders,80
Negative impact on Retail/Stock markets,60
Vendors going cashless & impact Post-Demon,60
Probes and Arrests of black money hoarders,217
Suffering of farmers and Relief-measures,37
Huge deposits in PMY bank accounts,39
Negative imapct of demonetisation on Economy,105
Appreciation by PM for supporting Demonitisation,460
Negative impact of demonetisation on Real-Estate,16
Enhanced security features on new currency notes,94
Opposition unites against government on Demon-issue,386
Encouraging cashless payments Post-Demon,2
