tag,value
Fake ration cards and its linkage with Aadhaar,0.0008176137
BSNL linking Aadhaar with mobile numbers,0.0009928167
LPG Subsidy & DBT (Direct Benefit Transfer),0.0012264206
Aadhaar requirement for college students' registration,0.0019272324
Aadhaar Enrollment of voters of electorates,0.003036851
Requirement of Aadhaar for school admission,0.0045552765
Requirement of Aadhaar for passport & other services,0.009168954
Installation of e-pos systems for Aadhaar enabled PDS,0.0095777609
Digitization of Aadhaar for Cashless payments/Govt-Offices,0.0130234188
Implementation of Direct Benefit Transfer Scheme,0.0203819424
Aadhaar's involvement in filing income tax returns,0.0386614495
Aadhar enrollment centers,0.0452607604
Opening of bank accounts and financial inclusion,0.0468959879
Aadhaar based verification for telecom users and data leakage,0.0874262688
Parliamentary debates on Aadhaar,0.0996904748
Court cases related to Aadhaar,0.1050049641
International Linkages/Positive Effect on Economy,0.5123518075
,1
