tag,value
GST Bill implementation in State Assemblies,-11.8441
Nonconclusive discussion b/w center & state regarding GST,-1.8114
Positive Effect of GST on GDP and Economy,-0.2174
Revolts/Confusion with GST Rate Slabs,0
Uncertainity in Impact of GST on consumer Goods,0.3083
Nationwide Protest to include Petroleum products under GST,1.1936
Training Programmes for Creating GST Awareness,4.6582
Fears of Capital Crunch among traders before GST Rollout,11.0652
Sensex/Market rejoices on GST rollout,16.226
Discussion in Parliament in support of GST,256.8089
Traders hassles to meet GST registration deadline,284.4738
